event_id,year,title,event_type,source,polemic_score,archivalization_score,semantic_noise
EVT-EXH-1985-00035-9e57539b,1985,"【绝对艺术】如何读懂吴山专？""世界平面日""是一个入口_节日",exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.sohu.com%2Fa%2F302389348_306436&rut=c5e3b055cdb13410df970a2764d6d528a22b95d22cffe39054164bab4d9e0b02,2.0,0.0,0
EVT-OTH-1985-00050-65b6c9ae,1985,Xu Bing 徐冰 | INKstudio,other,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.inkstudio.com.cn%2Fzh%2Fartists%2F97%2Dxu%2Dbing%2F&rut=98690248b584591a4c5e730233642188c98e8230ba04fbc916e394eedbffa040,2.0,0.0,0
EVT-OTH-1985-00029-421382ea,1985,Home | Art Gallery of Ontario,other,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fago.ca%2F&rut=f635322de9b065febf7f7cbc677ab86d9f800e80325410db2857489847a35de1,2.0,0.0,0
EVT-EXH-1985-00055-00b426d6,1985,栗宪庭 - 维基百科，自由的百科全书,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fzh.wikipedia.org%2Fwiki%2F%25E6%25A0%2597%25E5%25AE%25AA%25E5%25BA%25AD&rut=aa06ab58a053e994396c74d98b77d9eff7c86f39ea5a46e5c4cc626ccf84e779,2.0,0.0,0
EVT-EXH-1985-00059-c1d53946,1985,栗宪庭简介 - pekinger-fruehling.univie.ac.at,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fpekinger%2Dfruehling.univie.ac.at%2F%25E8%25AE%25BF%25E8%25B0%2588%25E6%258A%2584%25E5%2586%2599%2F%25E6%25A0%2597%25E5%25AE%25AA%25E5%25BA%25AD%2F&rut=cb99b5a528245d3d6de82e360db3c516bee52e22ec075bcbca8cb90ff4f27549,2.0,0.0,0
EVT-DIS-1985-00063-58128f92,1985,PDF访问文字 - Aaa,discourse,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fcdn.aaa.org.hk%2F_source%2Flxt%2Dft%2Dfinal.pdf&rut=843c6652386f953b1a604ca9a899d821a4cad000fb4a5bcccca4bb4c1f639e33,2.0,0.0,0
EVT-EXH-1985-00034-f05775c4,1985,吳山專 | 創作者 | M+,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.mplus.org.hk%2Ftc%2Fcollection%2Fmakers%2Fwu%2Dshanzhuan%2F&rut=5dbf85e9d9d3b6a80471c1aa863d7a45848c9d23cb5b6ea2bcf33e3577da18a7,2.0,0.0,0
EVT-EXH-1985-00069-e10525fd,1985,"艺术观察丨""星星美展""四十周年，回望激越思想时代",exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fm.bjnews.com.cn%2Fdetail%2F157796302014486.html&rut=8ce3922d83e961b6ad1dfa85a412fa88bd1eacc8d6e3d2dc145310bef41e1305,2.0,0.0,0
EVT-OTH-1985-00025-62916fea,1985,吴山专 - 长征空间 - Long March Space,other,https://duckduckgo.com/l/?uddg=http%3A%2F%2Fwww.longmarchspace.com%2Fzh%2Fartists%2Fwu%2Dshanzhuan%2D2%2F&rut=f361ab007c1eb64c2825a9266188ace9c4332f2531475c430fdf7177f7c12b1e,2.0,0.0,0
EVT-OTH-1985-00024-25147d96,1985,www.china1980s.org,other,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.china1980s.org%2Fsc%2Falbums.aspx%3Ffeature_id%3D10&rut=e606b4571f752e4fd0cbf3b5820074961c60c8ca0f4104ab7a275964c72ee45f,2.0,0.0,0
EVT-EXH-1985-00017-07c5fcc1,1985,藝術事件資料庫 | China/Avant-Garde Exhibition | 亞洲藝術文獻庫,exhibition,https://duckduckgo.com/l/?uddg=https%3A%2F%2Faaa.org.hk%2Ftc%2Fcollections%2Fevent%2Ddatabase%2Fchinaavant%2Dgarde%2Dexhibition%2D17368&rut=d19f1da4e911b1bdf657d2b8b44465f8d30e51f7b48025e1202c1ac7af751e15,2.0,0.0,0
