center_year,window,n_events,n_events_with_city,n_cities,gini_city,degenerate_one_city,effective_gini,top_city,top_city_share
1979,"1978,1979,1980",5,5,3,0.26666666666666666,0,0.26666666666666666,上海,0.6
1980,"1979,1980,1981",5,5,3,0.26666666666666666,0,0.26666666666666666,上海,0.6
1985,"1984,1985,1986",26,26,4,0.4230769230769231,0,0.4230769230769231,北京,0.5
1986,"1985,1986,1987",26,26,4,0.4230769230769231,0,0.4230769230769231,北京,0.5
1989,"1988,1989,1990",3,3,1,0.0,1,,北京,1.0
2025,"2024,2025,2026",5,5,1,0.0,1,,北京,1.0
2026,"2025,2026,2027",5,5,1,0.0,1,,北京,1.0
